Assamese_Source,Ground_Truth_Kannada,Model_Prediction_Kannada
তাই সদায় ৰাতিপুৱা কিতাপ পঢ়ে।,ಅವಳು ಪ್ರತಿದಿನ ಬೆಳಿಗ್ಗೆ ಪುಸ್ತಕ ಓದುತ್ತಾಳೆ.,ಆದ್ದರಿಂದ ಪ್ರತಿದಿನ ಬೆಳಿಗ್ಗೆ ಪುಸ್ತಕಗಳನ್ನು ಓದುತ್ತಾನೆ.
ল'ৰাটোৱে পথাৰত ফুটবল খেলি আছে।,ಹುಡುಗ ಮೈದಾನದಲ್ಲಿ ಫುಟ್ಬಾಲ್ ಆಡುತ್ತಿದ್ದಾನೆ.,ಹುಡುಗನು ಹೊಲದಲ್ಲಿ ಫುಟ್ಬಾಲ್ ಆಡುತ್ತಿದ್ದಾನೆ.
আমি আজি নতুন বজাৰলৈ যাম।,ನಾವು ಇಂದು ಹೊಸ ಮಾರುಕಟ್ಟೆಗೆ ಹೋಗುತ್ತೇವೆ.,ಇಂದು ನಾವು ಹೊಸ ಮಾರುಕಟ್ಟೆಗೆ ಹೋಗಲಿದ್ದೇವೆ.
চৰাইবোৰে আকাশত উৰি আছে।,ಹಕ್ಕಿಗಳು ಆಕಾಶದಲ್ಲಿ ಹಾರುತ್ತಿವೆ.,ಪಕ್ಷಿಗಳು ಆಕಾಶದಲ್ಲಿ ಹಾರುತ್ತಿವೆ.
মায়ে পাকঘৰত ভাত ৰান্ধি আছে।,ಅಮ್ಮ ಅಡುಗೆಮನೆಯಲ್ಲಿ ಅಡುಗೆ ಮಾಡುತ್ತಿದ್ದಾರೆ.,ನನ್ನ ಅಡುಗೆಮನೆಯಲ್ಲಿ ಅಕ್ಕಿ ಅಡುಗೆ ಇದೆ.
সূৰ্য পূব দিশত উঠে।,ಸೂರ್ಯ ಪೂರ್ವದಲ್ಲಿ ಹುಟ್ಟುತ್ತಾನೆ.,ಸೂರ್ಯನು ಪೂರ್ವ ದಿಕ್ಕಿನಲ್ಲಿ ಉದಯಿಸುತ್ತಾನೆ.
দেউতা অফিচলৈ গৈছে।,ಅಪ್ಪ ಕಚೇರಿಗೆ ಹೋಗಿದ್ದಾರೆ.,ದೇವದೂತನು ಕಚೇರಿಗೆ ಹೋದನು.
মই এখন চিঠি লিখিছোঁ।,ನಾನು ಒಂದು ಪತ್ರ ಬರೆಯುತ್ತಿದ್ದೇನೆ.,ನಾನು ಈಗ ಪತ್ರ ಬರೆಯುತ್ತಿದ್ದೇನೆ.
গৰুৱে ঘাঁহ খায়।,ಹಸು ಹುಲ್ಲು ತಿನ್ನುತ್ತದೆ.,ಹಸುಗಳು ಹುಲ್ಲು ತಿನ್ನುತ್ತವೆ.
শিক্ষকজনে শ্ৰেণীত পঢ়াই আছে।,ಶಿಕ್ಷಕರು ತರಗತಿಯಲ್ಲಿ ಪಾಠ ಮಾಡುತ್ತಿದ್ದಾರೆ.,ಶಿಕ್ಷಕನು ತರಗತಿಯಲ್ಲಿ ಓದುತ್ತಿದ್ದಾನೆ.
